,Titulo,Subtitulo,Link
0,"Bolsonaro vai permanecer internado em tratamento clínico, diz equipe médica","Presidente sentiu dores abdominais, teve diagnóstico de obstrução intestinal e foi transferido para hospital em SP, onde passou por exames. ",https://g1.globo.com/sp/sao-paulo/noticia/2021/07/14/bolsonaro-ficara-internado-e-recebera-em-tratamento-clinico-diz-boletim.ghtml
1,Obstrução intestinal: entenda o quadro de saúde do presidente,,https://g1.globo.com/ciencia-e-saude/noticia/2021/07/14/obstrucao-intestinal-entenda-o-que-e.ghtml
2,Bolsonaro passou por 4 cirurgias após facada; relembre histórico,,https://g1.globo.com/sp/sao-paulo/noticia/2021/07/14/bolsonaro-ja-realizou-quatro-cirurgias-relacionadas-a-facada-relembre-historico.ghtml
3,"Brasil ultrapassa 537 mil mortes por Covid, com média móvel de 1.270 por dia",,https://g1.globo.com/bemestar/coronavirus/noticia/2021/07/14/brasil-registra-mais-de-537-mil-vitimas-de-covid-na-pandemia-ainda-alta-media-movel-aponta-queda-ha-18-dias.ghtml
4,"Alegria, revolta, luto: as manifestações dos brasileiros na hora da vacinação",,https://g1.globo.com/jornal-nacional/noticia/2021/07/14/brasileiros-levam-cartazes-e-expressam-sentimentos-na-hora-da-vacinacao.ghtml
5,Anvisa diz que não há estudo conclusivo sobre 3ª dose e autoriza 2 pesquisas,Pfizer e AstraZeneca foram liberadas para investigar efeitos e necessidade de dose extra.,https://g1.globo.com/bemestar/vacina/noticia/2021/07/14/anvisa-diz-que-nao-ha-estudo-conclusivo-sobre-3a-dose-e-que-autorizou-2-pesquisas.ghtml
6,Mega-Sena acumula e prêmio vai a R$ 75 milhões; veja dezenas,"Quina teve 102 apostas ganhadoras e cada uma receberá R$ 48,6 mil. ",https://g1.globo.com/loterias/noticia/2021/07/14/mega-sena-concurso-2390-resultado.ghtml
7,DJ Ivis é preso em Fortaleza por agressões à ex-mulher,Pamella Holanda passará por novo exame de corpo de delito. Ela divulgou vídeo sendo agredida. ,https://g1.globo.com/ce/ceara/noticia/2021/07/14/dj-ivis-e-preso-em-fortaleza-apos-agressoes-contra-ex-mulher.ghtml
8,Cantor e produtor de hits do forró: saiba quem é DJ Ivis,,https://g1.globo.com/pop-arte/video/quem-e-dj-ivis-9680619.ghtml
9,CPI da Covid é prorrogada por 90 dias,,https://g1.globo.com/politica/cpi-da-covid/noticia/2021/07/14/presidente-do-senado-prorroga-por-90-dias-trabalhos-da-cpi-da-covid.ghtml
