Descrição,Link,Detalhes,Preço
Floripa- Loft no Santa Mônica- aconchegante!,www.airbnb.com.br/rooms/13018188?adults=2&previous_page_section_name=1000&translate_ugc=false,Espaço inteiro: casa de hóspedes · Florianópolis,R$140
"Lindo local em Florianópolis ,casa para hóspedes.",www.airbnb.com.br/rooms/40869962?adults=2&previous_page_section_name=1000&translate_ugc=false,Espaço inteiro: casa residencial · Florianópolis,R$350
Floripa-STUDIO no Santa Mônica - o melhor lugar,www.airbnb.com.br/rooms/21125918?adults=2&previous_page_section_name=1000&translate_ugc=false,Espaço inteiro: loft · Santa Monica,R$137
Folksy Loft & Escritório - Estilo e Praticidade,www.airbnb.com.br/rooms/49212421?adults=2&previous_page_section_name=1000&translate_ugc=false,Espaço inteiro: loft · Córrego Grande,R$111
Apartamento no coração de Floripa,www.airbnb.com.br/rooms/50845308?adults=2&previous_page_section_name=1000&translate_ugc=false,Espaço inteiro: condomínio (condo) · Itacorubi,R$150
"KITNET 1, APTO INTEIRO EM FRENTE Á UFSC",www.airbnb.com.br/rooms/49652280?adults=2&previous_page_section_name=1000&translate_ugc=false,Espaço inteiro: condomínio (condo) · Pantanal,R$70
Loft Completo e Independente - Santa Mônica,www.airbnb.com.br/rooms/51016862?adults=2&previous_page_section_name=1000&translate_ugc=false,Espaço inteiro: casa de hóspedes · Santa Monica,R$95
Próximo a UFSC e no acesso as praias. Maravilhoso,www.airbnb.com.br/rooms/28002002?adults=2&previous_page_section_name=1000&translate_ugc=false,Espaço inteiro: unidade alugada · Trindade,R$180
(2) Lugar de aconchego na Ilha para até 4 pessoas.,www.airbnb.com.br/rooms/50498717?adults=2&previous_page_section_name=1000&translate_ugc=false,Espaço inteiro: casa residencial · Florianópolis,R$113
Guesthouse n. 2 completa c/piscina prox Ufsc Udesc,www.airbnb.com.br/rooms/41475723?adults=2&previous_page_section_name=1000&translate_ugc=false,Espaço inteiro: suíte de hóspedes · Córrego Grande,R$85
Florianópolis te espera,www.airbnb.com.br/rooms/38322989?adults=2&previous_page_section_name=1000&translate_ugc=false,Espaço inteiro: unidade alugada · Itacorubi,R$106
Kit completa em localização central,www.airbnb.com.br/rooms/16426597?adults=2&previous_page_section_name=1000&translate_ugc=false,Espaço inteiro: casa de hóspedes · Florianópolis,R$84
Studio Aconchegante bem localizado,www.airbnb.com.br/rooms/32032271?adults=2&previous_page_section_name=1000&translate_ugc=false,Espaço inteiro: unidade alugada · Itacorubi,R$110
Apêzin aconchegante & excelente localização,www.airbnb.com.br/rooms/48332354?adults=2&previous_page_section_name=1000&translate_ugc=false,Espaço inteiro: unidade alugada · Itacorubi,R$103
roomin #20 | Sappphire | STD sofisticado,www.airbnb.com.br/rooms/50170620?adults=2&previous_page_section_name=1000&translate_ugc=false,Espaço inteiro: unidade alugada · Córrego Grande,R$204
Apartamento novo na Trindade,www.airbnb.com.br/rooms/47153058?adults=2&previous_page_section_name=1000&translate_ugc=false,Espaço inteiro: unidade alugada · Trindade,R$145
Casa Linda em Localização Incrível de Floripa!,www.airbnb.com.br/rooms/15656641?adults=2&previous_page_section_name=1000&translate_ugc=false,Espaço inteiro: casa residencial · Florianópolis,R$130
Quarto aconchegante em Florianópolis,www.airbnb.com.br/rooms/31824707?adults=2&previous_page_section_name=1000&translate_ugc=false,Quarto inteiro · Trindade,R$60
Apartamento na Trindade próximo à UFSC,www.airbnb.com.br/rooms/21502259?adults=2&previous_page_section_name=1000&translate_ugc=false,Espaço inteiro: unidade alugada · Trindade,R$118
Meu cantinho em Floripa (Itacorubi),www.airbnb.com.br/rooms/22786887?adults=2&previous_page_section_name=1000&translate_ugc=false,Espaço inteiro: unidade alugada · Itacorubi,R$119
